krok 	 magnetyzacja 
0	0.61966
1	0.59913
2	0.563524
3	0.524608
4	0.487902
5	0.453418
6	0.421626
7	0.391668
8	0.363234
9	0.336404
10	0.310728
11	0.28538
12	0.261796
13	0.238276
14	0.21586
15	0.194032
16	0.172616
17	0.15182
18	0.131582
19	0.11137
20	0.091278
21	0.071548
22	0.052072
23	0.032574
24	0.013432
25	0.005562
26	0.024432
27	0.043062
28	0.061462
29	0.079622
30	0.09754
31	0.115314
32	0.133058
33	0.150374
34	0.167338
35	0.184086
36	0.200632
37	0.217372
38	0.234196
39	0.2509
40	0.267344
41	0.28363
42	0.300018
43	0.316166
44	0.331698
45	0.347276
46	0.363034
47	0.378852
48	0.394266
49	0.409526
50	0.424754
51	0.439758
52	0.454102
53	0.4688
54	0.483402
55	0.49771
56	0.511918
57	0.525808
58	0.53927
59	0.552792
60	0.565894
61	0.578982
62	0.591722
63	0.604206
64	0.61691
65	0.629112
66	0.641364
67	0.652834
68	0.664176
69	0.675334
70	0.686534
71	0.697524
72	0.708378
73	0.718648
74	0.729158
75	0.739346
76	0.74937
77	0.759014
78	0.768534
79	0.77779
80	0.786854
81	0.795448
82	0.803858
83	0.812166
84	0.819946
85	0.827484
86	0.835074
87	0.842162
88	0.849146
89	0.855922
90	0.862528
91	0.868806
92	0.874922
93	0.880922
94	0.886662
95	0.892378
96	0.897912
97	0.903278
98	0.908516
99	0.913616
